id;institution_id;campus_name;region_id;level_id;address;major_id;name;accredited;accredited_years;area_id;duration;duration_type;tuition;application_type;shift;entry_req;benefits;vacancies;repostulacion
I633S2C59J2V1;633;;9;1;NA;274;TECNICO DE NIVEL SUPERIOR EN PREPARACION FISICA PARA EL DEPORTE Y LA VIDA SALUDABLE;1;4;7;6;SEMESTRES;1113000;NA;2;NA;0;NA;NA
I1S1C232J2V3;1;;NA;3;NA;199;PERIODISMO;1;3;5;4;TRIMESTRES;2947000;NA;2;NA;0;NA;NA
I633S2C79J2V1;633;;9;1;NA;250;INDUSTRIAS DE ALIMENTOS;1;4;10;6;SEMESTRES;1113000;NA;2;NA;0;NA;NA
I676S0C0J1V1;676;;13;2;NA;5;ADMINISTRACION DE ARTES CULINARIAS Y SERVICIOS;1;4;1;8;SEMESTRES;165;NA;1;NA;0;NA;NA
I11S1C102J2V2;11;;NA;3;NA;8;PROGRAMA DE CONTINUIDAD DE ESTUDIOS ADMINISTRACION PUBLICA;1;4;5;4;SEMESTRES;1784000;NA;2;NA;1;NA;NA
I676S0C1J1V1;676;;13;2;NA;9;ADMINISTRACION DE EMPRESAS HOTELERAS Y SERVICIOS;1;4;1;8;SEMESTRES;165;NA;1;NA;0;NA;NA
I676S0C5J1V1;676;;13;2;NA;163;DIRECCION Y PRODUCCION DE EVENTOS;1;4;1;8;SEMESTRES;165;NA;1;NA;0;NA;NA
I11S1C1J2V1;11;;NA;3;NA;8;ADMINISTRACION PUBLICA;1;4;5;10;SEMESTRES;3117000;NA;2;NA;1;NA;NA
I1S1C250J2V2;1;;NA;3;NA;93;INGENIERIA EN COMPUTACION E INFORMATICA;1;3;10;5;TRIMESTRES;2947000;NA;2;NA;0;NA;NA
I1S1C251J2V2;1;;NA;3;NA;142;INGENIERIA INDUSTRIAL;1;3;10;5;TRIMESTRES;2947000;NA;2;NA;0;NA;NA
I676S2C5J1V1;676;;5;2;NA;163;DIRECCION Y PRODUCCION DE EVENTOS;1;4;1;8;SEMESTRES;152;NA;1;NA;0;NA;NA
I139S2C74J2V1;139;;16;2;NA;284;TECNICO EN ELECTRICIDAD;1;4;10;4;SEMESTRES;1649000;NA;2;NA;0;NA;NA
I426S1C10J1V4;426;;13;1;NA;244;FINANZAS;1;3;1;5;SEMESTRES;1658500;NA;1;NA;0;NA;NA
I426S1C10J2V4;426;;13;1;NA;244;FINANZAS;1;3;1;5;SEMESTRES;1658500;NA;2;NA;0;NA;NA
I1S1C26J4V2;1;;NA;3;NA;77;INGENIERIA CIVIL INDUSTRIAL;1;3;10;6;TRIMESTRES;3602000;NA;4;NA;0;NA;NA
I426S1C12J1V2;426;;13;1;NA;237;INFORMATICA Y REDES;1;3;10;5;SEMESTRES;1658500;NA;1;NA;0;NA;NA
